sample_id,x_req,y_req,z_req,yaw_req,detected,depth_valid,tf_found,note,bbox_x,bbox_y,bbox_w,bbox_h,edge_flag,area_px,angle_deg,depth_median_m,x_est_base,y_est_base,z_est_base,x_est_world,y_est_world,z_est_world,x_gt_world,y_gt_world,z_gt_world,qx_gt,qy_gt,qz_gt,qw_gt,yaw_gt,ex,ey,ez,enorm,yaw_err_req_gt,perception_json,truth_json,x_est_world_old,y_est_world_old,z_est_world_old,ex_old,ey_old,ez_old,enorm_old,calibrated_error_used
s0000,0.15166578893560745,0.023164920173809028,0.775,-0.06339334390203305,1,1,1,,89,195,101,80,0,7248.5,2.0454084873199463,0.37778860330581665,-0.31218465007715823,0.10875782610838163,0.09558089542515558,0.146231030,0.024437164,0.772486559,0.15166578893560745,0.02316492017380903,0.7727689062062018,3.0250656104205453e-16,-2.5882722674991147e-16,-0.03169136472077788,0.999497702549703,-0.06339334390203005,-0.005434758,0.001272243,-0.000282347,0.005588821,-2.9976021664879227e-15,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0000_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0000_truth.json,-0.5121846500771583,0.10875782610838163,0.8455808954251556,-0.6638504390127657,0.0855929059345726,0.07281198921895382,0.6732942422877144,1
s0001,0.08377049284813652,0.028272053477767456,0.775,0.32850007146087257,1,1,1,,147,202,71,93,0,3668.5,77.6192398071289,0.34063950181007385,-0.28467762343345354,0.0710750907077711,0.1211593996449716,0.093285648,0.029359654,0.774341420,0.08377049284813651,0.028272053477767452,0.7727872472668559,4.6164757018383045e-17,-3.8102714305868566e-16,0.16351250634691264,0.9865412613105196,0.3285000714608726,0.009515155,0.001087600,0.001554172,0.009702397,-5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0001_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0001_truth.json,-0.48467762343345355,0.0710750907077711,0.8711593996449716,-0.5684481162815901,0.04280303723000364,0.0983721523781157,0.5784828789719748,1
s0002,0.11132965067863103,0.05613997751628362,0.775,-0.3247451876894064,1,1,1,,121,234,108,106,0,8107.5,12.26477336883545,0.354836106300354,-0.3110385002093782,0.07713162281883063,0.13451651169114642,0.107027258,0.055388722,0.767734939,0.11132965067863104,0.056139977516283614,0.7725878396273556,1.71678596972318e-16,8.071380953404355e-17,-0.16166004537563242,0.9868465076845276,-0.32474518768940613,-0.004302392,-0.000751256,-0.004852901,0.006528829,-2.7755575615628914e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0002_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0002_truth.json,-0.5110385002093782,0.07713162281883063,0.8845165116911464,-0.6223681508880092,0.02099164530254701,0.11192867206379087,0.6327011870087106,1
s0003,0.12333432494937678,-0.04775148601837195,0.775,-0.004013783925557457,1,1,1,,115,84,103,85,0,7199.0,90.0,0.36042520403862,-0.2572125279988063,0.08564625161834363,0.0460678378538073,0.118345658,-0.047849367,0.770321987,0.12333432494937678,-0.047751486018371946,0.7727090239999991,3.05912171476991e-16,-1.2065877612682272e-16,-0.00200689061561416,0.9999979861930007,-0.004013783925557402,-0.004988667,-0.000097881,-0.002387037,0.005531214,-5.4643789493269423e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0003_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0003_truth.json,-0.4572125279988063,0.08564625161834363,0.7960678378538073,-0.5805468529481831,0.13339773763671559,0.023358813853808225,0.596133574846519,1
s0004,0.13335032679556352,0.05694531994192893,0.775,0.016076084483877484,1,1,1,,105,243,103,85,0,7705.0,89.10482788085938,0.36739248037338257,-0.32197742544925934,0.09396574277158724,0.12826689674667344,0.127906238,0.056691363,0.769850756,0.13335032679556352,0.05694531994192893,0.7727480780221423,-2.6822569979487384e-16,-2.3875535143972357e-16,0.008037955685735232,0.9999676951123941,0.01607608448387742,-0.005444088,-0.000253957,-0.002897322,0.006172282,6.245004513516506e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0004_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0004_truth.json,-0.5219774254492593,0.09396574277158724,0.8782668967466735,-0.6553277522448229,0.03702042282965831,0.10551881872453117,0.6648001170831419,1
s0005,0.16426067269051303,-0.02771530452240148,0.775,-0.2601130731552845,1,1,1,,75,118,107,86,0,7278.5,8.61564826965332,0.3857034146785736,-0.291126308305257,0.11916546370843976,0.05084257743552781,0.159847755,-0.024195638,0.774137376,0.164260672690513,-0.027715304522401476,0.7729678481031931,5.09039137338264e-16,1.912696655451554e-16,-0.12969020192847577,0.9915545630593161,-0.2601130731552844,-0.004412917,0.003519667,0.001169528,0.005764520,-5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0005_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0005_truth.json,-0.491126308305257,0.11916546370843976,0.8008425774355278,-0.65538698099577,0.14688076823084123,0.027874729332334702,0.6722224746839269,1
s0006,0.11579363889580116,0.03443950394173832,0.775,0.14556108385223915,1,1,1,,119,210,97,84,0,5870.0,80.53767395019531,0.35330498218536377,-0.29686301493389555,0.0848482171650595,0.11653599513884386,0.111957899,0.032661613,0.774289060,0.11579363889580115,0.034439503941738316,0.772825420690747,1.2709898994845893e-16,-7.971851334054513e-16,0.07271630576467616,0.9973526652473227,0.14556108385223918,-0.003835740,-0.001777890,0.001463639,0.004473928,-2.7755575615628914e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0006_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0006_truth.json,-0.49686301493389556,0.0848482171650595,0.8665359951388438,-0.6126566538296967,0.05040871322332118,0.09371057444809683,0.6218286625864268,1
s0007,0.06440943496436943,-0.04022856264968438,0.775,-0.17195868035514786,1,1,1,,168,87,77,84,0,3189.0,6.581944942474365,0.32994577288627625,-0.235796579057081,0.05349301653801526,0.06873616826211296,0.073970298,-0.041790638,0.770989669,0.06440943496436943,-0.040228562649684364,0.7738513551382091,2.2006577899667182e-16,2.310744782944503e-17,-0.0858734463742072,0.9963060529816208,-0.17195868035514833,0.009560863,-0.001562076,-0.002861686,0.010101456,4.718447854656915e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0007_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0007_truth.json,-0.435796579057081,0.05349301653801526,0.8187361682621129,-0.5002060140214505,0.09372157918769963,0.0448848131239038,0.5108859337639191,1
s0008,0.1165895621841479,0.05787232696093196,0.775,-0.16036349402688974,1,1,1,,118,240,106,98,0,8057.0,5.710592269897461,0.35781896114349365,-0.3145444486067362,0.08098574878139622,0.134356140229579,0.111860748,0.057301059,0.768124840,0.11658956218414791,0.05787232696093196,0.7726385434788345,4.331744572004149e-16,-2.2801407338795173e-16,-0.08009585838142314,0.9967871655825746,-0.1603634940268912,-0.004728814,-0.000571268,-0.004513703,0.006562130,1.4710455076283324e-15,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0008_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0008_truth.json,-0.5145444486067362,0.08098574878139622,0.884356140229579,-0.6311340107908842,0.02311342182046426,0.11171759675074444,0.6413619814652257,1
s0009,0.06550621115869278,0.06368706605103984,0.775,0.25844006492737204,1,1,1,,167,264,85,90,0,5278.0,80.18070220947266,0.32604536414146423,-0.2912028086708603,0.049529603886069556,0.15650356944057253,0.067142799,0.061850502,0.770231357,0.06550621115869278,0.06368706605103984,0.7727289847999991,-1.2926868312834499e-16,2.7465876560604644e-17,0.12886071717934414,0.9916627025193723,0.2584400649273714,0.001636588,-0.001836565,-0.002497628,0.003505643,6.106226635438361e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0009_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0009_truth.json,-0.4912028086708603,0.049529603886069556,0.9065035694405725,-0.5567090198295531,-0.014157462164970283,0.13377458464057346,0.5727311812624595,1
